model,mse,rmse,mae,r2
Liner Regression,16059705073.300571,126726.89167379026,88173.57205552247,0.6614367162651986
Lasso Regression,16059684204.68261,126726.80933678796,88173.23103274127,0.6614371562077626
Ridge Regression,16058992358.47098,126724.0796315798,88170.20642716753,0.6614517413900046
Random Forest Regression,13751228403.305761,117265.63180789912,79692.86943208997,0.7101029550442646
ANN for Regression ,15468173591.323217,124371.11236667146,83240.44441522042,0.6739071097161793
